Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-12-11T00:39:57Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Ryan O'Reilly,Winner,St. Louis Blues,Jack Eichel,Loser,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-11T00:40:51Z,1,00:18,19:42,Goal,Wrist Shot,81.0,4.0,Sam Reinhart,Scorer,Buffalo Sabres,Victor Olofsson,Assist,Buffalo Sabres,Brandon Montour,Assist,Buffalo Sabres,Jake Allen,Goalie,St. Louis Blues
2019-12-11T00:41:33Z,1,00:18,19:42,Faceoff,n/a,0.0,0.0,Marcus Johansson,Winner,Buffalo Sabres,Brayden Schenn,Loser,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-11T00:41:42Z,1,00:25,19:35,Hit,n/a,31.0,41.0,Justin Faulk,Hitter,St. Louis Blues,Brandon Montour,Hittee,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-11T00:41:49Z,1,00:33,19:27,Shot,Snap Shot,-32.0,31.0,Jordan Kyrou,Shooter,St. Louis Blues,Linus Ullmark,Goalie,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-11T00:42:39Z,1,01:20,18:40,Hit,n/a,-66.0,-40.0,Zach Bogosian,Hitter,Buffalo Sabres,Ivan Barbashev,Hittee,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-11T00:43:02Z,1,01:22,18:38,Faceoff,n/a,-69.0,-22.0,Jack Eichel,Winner,Buffalo Sabres,Ivan Barbashev,Loser,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-11T00:43:19Z,1,01:32,18:28,Shot,Wrist Shot,-46.0,-2.0,Troy Brouwer,Shooter,St. Louis Blues,Linus Ullmark,Goalie,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-11T00:44:12Z,1,02:11,17:49,Faceoff,n/a,-20.0,22.0,Tyler Bozak,Winner,St. Louis Blues,Johan Larsson,Loser,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-11T00:45:15Z,1,02:39,17:21,Faceoff,n/a,20.0,-22.0,Brayden Schenn,Winner,St. Louis Blues,Marcus Johansson,Loser,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-11T00:45:36Z,1,03:00,17:00,Takeaway,n/a,-12.0,-26.0,Jaden Schwartz,PlayerID,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-11T00:45:45Z,1,03:06,16:54,Takeaway,n/a,-60.0,-10.0,Jordan Kyrou,PlayerID,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-11T00:45:43Z,1,03:07,16:53,Shot,Wrist Shot,-47.0,-11.0,Jordan Kyrou,Shooter,St. Louis Blues,Linus Ullmark,Goalie,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-11T00:46:14Z,1,03:35,16:25,Hit,n/a,-96.0,-22.0,Colin Miller,Hitter,Buffalo Sabres,Ivan Barbashev,Hittee,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-11T00:46:16Z,1,03:37,16:23,Goal,Snap Shot,-74.0,-3.0,Troy Brouwer,Scorer,St. Louis Blues,Ivan Barbashev,Assist,St. Louis Blues,Robert Thomas,Assist,St. Louis Blues,Linus Ullmark,Goalie,Buffalo Sabres
2019-12-11T00:46:54Z,1,03:37,16:23,Faceoff,n/a,0.0,0.0,Ryan O'Reilly,Winner,St. Louis Blues,Jack Eichel,Loser,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-11T00:48:20Z,1,05:01,14:59,Shot,Wrist Shot,87.0,-28.0,Kyle Okposo,Shooter,Buffalo Sabres,Jake Allen,Goalie,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-11T00:48:24Z,1,05:05,14:55,Shot,Wrap-around,80.0,-3.0,Kyle Okposo,Shooter,Buffalo Sabres,Jake Allen,Goalie,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-11T00:48:29Z,1,05:08,14:52,Shot,Wrist Shot,36.0,-37.0,Rasmus Ristolainen,Shooter,Buffalo Sabres,Jake Allen,Goalie,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-11T00:48:46Z,1,05:08,14:52,Faceoff,n/a,69.0,-22.0,Rasmus Asplund,Winner,Buffalo Sabres,Jacob de la Rose,Loser,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-11T00:49:15Z,1,05:17,14:43,Missed Shot,n/a,37.0,-35.0,Rasmus Ristolainen,Shooter,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-11T00:49:22Z,1,05:24,14:36,Hit,n/a,-24.0,-39.0,Rasmus Ristolainen,Hitter,Buffalo Sabres,Mackenzie MacEachern,Hittee,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-11T00:49:28Z,1,05:30,14:30,Hit,n/a,-77.0,-40.0,Jacob de la Rose,Hitter,St. Louis Blues,Brandon Montour,Hittee,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-11T00:49:33Z,1,05:35,14:25,Missed Shot,n/a,42.0,16.0,Marcus Johansson,Shooter,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-11T00:49:58Z,1,06:00,14:00,Hit,n/a,-85.0,-38.0,Jordan Kyrou,Hitter,St. Louis Blues,Colin Miller,Hittee,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-11T00:50:29Z,1,06:31,13:29,Hit,n/a,-55.0,-39.0,Colin Miller,Hitter,Buffalo Sabres,Brayden Schenn,Hittee,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-11T00:50:53Z,1,06:55,13:05,Shot,Wrist Shot,35.0,-33.0,Sam Reinhart,Shooter,Buffalo Sabres,Jake Allen,Goalie,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-11T00:51:00Z,1,07:01,12:59,Shot,Wrist Shot,45.0,36.0,Jake McCabe,Shooter,Buffalo Sabres,Jake Allen,Goalie,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-11T00:51:07Z,1,07:04,12:56,Penalty,Tripping,97.0,-1.0,Jay Bouwmeester,PenaltyOn,St. Louis Blues,Sam Reinhart,DrewBy,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-11T00:53:13Z,1,07:04,12:56,Faceoff,n/a,69.0,-22.0,Jack Eichel,Winner,Buffalo Sabres,Ryan O'Reilly,Loser,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-11T00:54:20Z,1,08:01,11:59,Shot,Slap Shot,46.0,-32.0,Victor Olofsson,Shooter,Buffalo Sabres,Jake Allen,Goalie,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-11T00:54:33Z,1,08:12,11:48,Giveaway,n/a,54.0,-4.0,Colton Parayko,PlayerID,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-11T00:54:43Z,1,08:25,11:35,Shot,Slap Shot,60.0,-26.0,Victor Olofsson,Shooter,Buffalo Sabres,Jake Allen,Goalie,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-11T00:55:09Z,1,08:26,11:34,Faceoff,n/a,69.0,-22.0,Ryan O'Reilly,Winner,St. Louis Blues,Kyle Okposo,Loser,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-11T00:56:05Z,1,09:20,10:40,Shot,Wrist Shot,-45.0,-28.0,Brayden Schenn,Shooter,St. Louis Blues,Linus Ullmark,Goalie,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-11T00:56:27Z,1,09:21,10:39,Faceoff,n/a,-69.0,-22.0,Johan Larsson,Winner,Buffalo Sabres,Brayden Schenn,Loser,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-11T00:57:04Z,1,09:54,10:06,Giveaway,n/a,-50.0,-40.0,Brayden Schenn,PlayerID,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-11T00:57:16Z,1,10:07,09:53,Blocked Shot,n/a,58.0,23.0,Colton Parayko,Blocker,St. Louis Blues,Victor Olofsson,Shooter,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-11T00:57:36Z,1,10:18,09:42,Blocked Shot,n/a,76.0,5.0,Vince Dunn,Blocker,St. Louis Blues,Zach Bogosian,Shooter,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-11T00:59:35Z,1,10:27,09:33,Faceoff,n/a,20.0,22.0,Ryan O'Reilly,Winner,St. Louis Blues,Jack Eichel,Loser,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-11T01:00:10Z,1,10:40,09:20,Shot,Wrist Shot,-63.0,-36.0,Alex Pietrangelo,Shooter,St. Louis Blues,Linus Ullmark,Goalie,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-11T01:00:18Z,1,10:41,09:19,Faceoff,n/a,-69.0,-22.0,Jack Eichel,Winner,Buffalo Sabres,Ryan O'Reilly,Loser,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-11T01:00:45Z,1,10:59,09:01,Shot,Wrist Shot,-19.0,-31.0,Tyler Bozak,Shooter,St. Louis Blues,Linus Ullmark,Goalie,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-11T01:01:12Z,1,11:01,08:59,Faceoff,n/a,-69.0,-22.0,Marcus Johansson,Winner,Buffalo Sabres,Ivan Barbashev,Loser,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-11T01:01:52Z,1,11:34,08:26,Missed Shot,n/a,-67.0,1.0,Troy Brouwer,Shooter,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-11T01:01:55Z,1,11:38,08:22,Hit,n/a,-96.0,26.0,Troy Brouwer,Hitter,St. Louis Blues,Jake McCabe,Hittee,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-11T01:02:01Z,1,11:43,08:17,Shot,Wrist Shot,24.0,-3.0,Rasmus Asplund,Shooter,Buffalo Sabres,Jake Allen,Goalie,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-11T01:02:23Z,1,11:54,08:06,Faceoff,n/a,69.0,22.0,Casey Mittelstadt,Winner,Buffalo Sabres,Jacob de la Rose,Loser,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-11T01:03:17Z,1,12:32,07:28,Hit,n/a,-97.0,17.0,Mackenzie MacEachern,Hitter,St. Louis Blues,Colin Miller,Hittee,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-11T01:03:25Z,1,12:40,07:20,Hit,n/a,-79.0,-39.0,Colin Miller,Hitter,Buffalo Sabres,Mackenzie MacEachern,Hittee,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-11T01:03:29Z,1,12:41,07:19,Blocked Shot,n/a,-64.0,0.0,Zach Bogosian,Blocker,Buffalo Sabres,Vince Dunn,Shooter,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-11T01:03:32Z,1,12:47,07:13,Hit,n/a,-94.0,-29.0,Evan Rodrigues,Hitter,Buffalo Sabres,Vince Dunn,Hittee,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-11T01:03:46Z,1,12:57,07:03,Hit,n/a,-31.0,-40.0,Evan Rodrigues,Hitter,Buffalo Sabres,Jordan Kyrou,Hittee,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-11T01:03:48Z,1,13:03,06:57,Blocked Shot,n/a,-46.0,-21.0,Casey Mittelstadt,Blocker,Buffalo Sabres,Jordan Kyrou,Shooter,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-11T01:04:22Z,1,13:19,06:41,Hit,n/a,-83.0,-38.0,Brandon Montour,Hitter,Buffalo Sabres,Jaden Schwartz,Hittee,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-11T01:04:22Z,1,13:20,06:40,Penalty,Slashing,98.0,1.0,Jeff Skinner,PenaltyOn,Buffalo Sabres,Alex Pietrangelo,DrewBy,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-11T01:05:04Z,1,13:20,06:40,Faceoff,n/a,-69.0,-22.0,Ryan O'Reilly,Winner,St. Louis Blues,Johan Larsson,Loser,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-11T01:05:05Z,1,13:35,06:25,Blocked Shot,n/a,-57.0,5.0,Jake McCabe,Blocker,Buffalo Sabres,Alex Pietrangelo,Shooter,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-11T01:05:22Z,1,13:35,06:25,Faceoff,n/a,-69.0,22.0,Johan Larsson,Winner,Buffalo Sabres,Ryan O'Reilly,Loser,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-11T01:08:17Z,1,16:28,03:32,Hit,n/a,19.0,-7.0,Jacob de la Rose,Hitter,St. Louis Blues,Sam Reinhart,Hittee,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-11T01:08:32Z,1,16:44,03:16,Missed Shot,n/a,-58.0,38.0,David Perron,Shooter,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-11T01:10:35Z,1,16:46,03:14,Faceoff,n/a,-69.0,-22.0,Johan Larsson,Winner,Buffalo Sabres,Ryan O'Reilly,Loser,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-11T01:11:06Z,1,17:01,02:59,Shot,Tip-In,79.0,-1.0,Johan Larsson,Shooter,Buffalo Sabres,Jake Allen,Goalie,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-11T01:11:12Z,1,17:07,02:53,Shot,Wrist Shot,73.0,-13.0,Zemgus Girgensons,Shooter,Buffalo Sabres,Jake Allen,Goalie,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-11T01:11:57Z,1,17:52,02:08,Giveaway,n/a,-77.0,-16.0,Jaden Schwartz,PlayerID,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-11T01:12:13Z,1,18:05,01:55,Blocked Shot,n/a,72.0,-8.0,Vince Dunn,Blocker,St. Louis Blues,Henri Jokiharju,Shooter,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-11T01:12:44Z,1,18:39,01:21,Hit,n/a,49.0,-41.0,Jay Bouwmeester,Hitter,St. Louis Blues,Evan Rodrigues,Hittee,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-11T01:13:28Z,1,19:22,00:38,Shot,Backhand,-76.0,-8.0,Alex Pietrangelo,Shooter,St. Louis Blues,Linus Ullmark,Goalie,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-11T01:14:00Z,1,19:55,00:05,Shot,Wrist Shot,-70.0,40.0,Alex Pietrangelo,Shooter,St. Louis Blues,Linus Ullmark,Goalie,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-11T01:32:36Z,2,00:00,20:00,Faceoff,n/a,0.0,0.0,Jack Eichel,Winner,Buffalo Sabres,Ryan O'Reilly,Loser,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-11T01:33:18Z,2,00:32,19:28,Shot,Snap Shot,39.0,-1.0,Alex Pietrangelo,Shooter,St. Louis Blues,Linus Ullmark,Goalie,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-11T01:33:57Z,2,01:10,18:50,Hit,n/a,-78.0,-39.0,Justin Faulk,Hitter,St. Louis Blues,Rasmus Asplund,Hittee,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-11T01:34:25Z,2,01:39,18:21,Hit,n/a,47.0,41.0,Jaden Schwartz,Hitter,St. Louis Blues,Rasmus Asplund,Hittee,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-11T01:34:31Z,2,01:45,18:15,Hit,n/a,67.0,38.0,Zach Bogosian,Hitter,Buffalo Sabres,Jordan Kyrou,Hittee,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-11T01:34:41Z,2,01:54,18:06,Blocked Shot,n/a,52.0,17.0,Casey Mittelstadt,Blocker,Buffalo Sabres,Vince Dunn,Shooter,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-11T01:35:00Z,2,02:13,17:47,Missed Shot,n/a,45.0,-12.0,Ivan Barbashev,Shooter,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-11T01:35:13Z,2,02:25,17:35,Hit,n/a,72.0,-41.0,Troy Brouwer,Hitter,St. Louis Blues,Colin Miller,Hittee,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-11T01:35:29Z,2,02:43,17:17,Blocked Shot,n/a,-83.0,10.0,Justin Faulk,Blocker,St. Louis Blues,Jeff Skinner,Shooter,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-11T01:36:04Z,2,02:47,17:13,Faceoff,n/a,-69.0,22.0,Ivan Barbashev,Winner,St. Louis Blues,Jack Eichel,Loser,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-11T01:36:54Z,2,03:13,16:47,Shot,Wrist Shot,-59.0,-29.0,Jake McCabe,Shooter,Buffalo Sabres,Jake Allen,Goalie,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-11T01:37:12Z,2,03:15,16:45,Faceoff,n/a,-69.0,-22.0,Tyler Bozak,Winner,St. Louis Blues,Johan Larsson,Loser,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-11T01:38:11Z,2,04:11,15:49,Blocked Shot,n/a,-75.0,8.0,Ryan O'Reilly,Blocker,St. Louis Blues,Henri Jokiharju,Shooter,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-11T01:38:42Z,2,04:42,15:18,Hit,n/a,71.0,40.0,Rasmus Ristolainen,Hitter,Buffalo Sabres,Jacob de la Rose,Hittee,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-11T01:39:04Z,2,05:01,14:59,Hit,n/a,70.0,42.0,Jacob de la Rose,Hitter,St. Louis Blues,Marcus Johansson,Hittee,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-11T01:39:13Z,2,05:13,14:47,Missed Shot,n/a,53.0,-15.0,Brayden Schenn,Shooter,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-11T01:39:24Z,2,05:19,14:41,Hit,n/a,99.0,-20.0,Brandon Montour,Hitter,Buffalo Sabres,Brayden Schenn,Hittee,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-11T01:39:24Z,2,05:21,14:39,Shot,Snap Shot,57.0,12.0,Jaden Schwartz,Shooter,St. Louis Blues,Linus Ullmark,Goalie,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-11T01:39:54Z,2,05:22,14:38,Faceoff,n/a,69.0,22.0,Evan Rodrigues,Winner,Buffalo Sabres,Ivan Barbashev,Loser,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-11T01:40:37Z,2,05:58,14:02,Shot,Wrist Shot,52.0,22.0,Ivan Barbashev,Shooter,St. Louis Blues,Linus Ullmark,Goalie,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
